stockcode,stockname,date,lagclose,close,marketvalue,region
FCHI.GI,法国CAC40,20190724,5618.16,5605.87,0,法国
FCHI.GI,法国CAC40,20190725,5605.87,5578.05,0,法国
FCHI.GI,法国CAC40,20190726,5578.05,5610.05,0,法国
FCHI.GI,法国CAC40,20190729,5610.05,5601.1,0,法国
FCHI.GI,法国CAC40,20190730,5601.1,5511.07,0,法国
FCHI.GI,法国CAC40,20190731,5511.07,5518.9,0,法国
FCHI.GI,法国CAC40,20190801,5518.9,5557.41,0,法国
FCHI.GI,法国CAC40,20190802,5557.41,5359,0,法国
FCHI.GI,法国CAC40,20190805,5359,5241.55,0,法国
FCHI.GI,法国CAC40,20190806,5241.55,5234.65,0,法国
FCHI.GI,法国CAC40,20190807,5234.65,5266.51,0,法国
FCHI.GI,法国CAC40,20190808,5266.51,5387.96,0,法国
FCHI.GI,法国CAC40,20190809,5387.96,5327.92,0,法国
FCHI.GI,法国CAC40,20190812,5327.92,5310.31,0,法国
FCHI.GI,法国CAC40,20190813,5310.31,5363.07,0,法国
FCHI.GI,法国CAC40,20190814,5363.07,5251.3,0,法国
FCHI.GI,法国CAC40,20190815,5251.3,5236.93,0,法国
FCHI.GI,法国CAC40,20190816,5236.93,5300.79,0,法国
FCHI.GI,法国CAC40,20190819,5300.79,5371.56,0,法国
FCHI.GI,法国CAC40,20190820,5371.56,5344.64,0,法国
FCHI.GI,法国CAC40,20190821,5344.64,5435.48,0,法国
FCHI.GI,法国CAC40,20190822,5435.48,5388.25,0,法国
FCHI.GI,法国CAC40,20190823,5388.25,5326.87,0,法国
FCHI.GI,法国CAC40,20190826,5326.87,5351.02,0,法国
FCHI.GI,法国CAC40,20190827,5351.02,5387.09,0,法国
FCHI.GI,法国CAC40,20190828,5387.09,5368.8,0,法国
FCHI.GI,法国CAC40,20190829,5368.8,5449.97,0,法国
FCHI.GI,法国CAC40,20190830,5449.97,5480.48,0,法国
FCHI.GI,法国CAC40,20190902,5480.48,5493.04,0,法国
FCHI.GI,法国CAC40,20190903,5493.04,5466.07,0,法国
FCHI.GI,法国CAC40,20190904,5466.07,5532.07,0,法国
FCHI.GI,法国CAC40,20190905,5532.07,5593.37,0,法国
FCHI.GI,法国CAC40,20190906,5593.37,5603.99,0,法国
FCHI.GI,法国CAC40,20190909,5603.99,5588.95,0,法国
FCHI.GI,法国CAC40,20190910,5588.95,5593.21,0,法国
FCHI.GI,法国CAC40,20190911,5593.21,5618.06,0,法国
FCHI.GI,法国CAC40,20190912,5618.06,5642.86,0,法国
FCHI.GI,法国CAC40,20190913,5642.86,5655.46,0,法国
FCHI.GI,法国CAC40,20190916,5655.46,5602.23,0,法国
FCHI.GI,法国CAC40,20190917,5602.23,5615.51,0,法国
FCHI.GI,法国CAC40,20190918,5615.51,5620.65,0,法国
FCHI.GI,法国CAC40,20190919,5620.65,5659.08,0,法国
FCHI.GI,法国CAC40,20190920,5659.08,5690.78,0,法国
FCHI.GI,法国CAC40,20190923,5690.78,5630.76,0,法国
FCHI.GI,法国CAC40,20190924,5630.76,5628.33,0,法国
FCHI.GI,法国CAC40,20190925,5628.33,5583.8,0,法国
FCHI.GI,法国CAC40,20190926,5583.8,5620.57,0,法国
FCHI.GI,法国CAC40,20190927,5620.57,5640.58,0,法国
FCHI.GI,法国CAC40,20190930,5640.58,5677.79,0,法国
FCHI.GI,法国CAC40,20191001,5677.79,5597.63,0,法国
FCHI.GI,法国CAC40,20191002,5597.63,5422.77,0,法国
FCHI.GI,法国CAC40,20191003,5422.77,5438.77,0,法国
FCHI.GI,法国CAC40,20191004,5438.77,5488.32,0,法国
FCHI.GI,法国CAC40,20191007,5488.32,5521.61,0,法国
FCHI.GI,法国CAC40,20191008,5521.61,5456.62,0,法国
FCHI.GI,法国CAC40,20191009,5456.62,5499.14,0,法国
FCHI.GI,法国CAC40,20191010,5499.14,5569.05,0,法国
FCHI.GI,法国CAC40,20191011,5569.05,5665.48,0,法国
FCHI.GI,法国CAC40,20191014,5665.48,5643.08,0,法国
FCHI.GI,法国CAC40,20191015,5643.08,5702.05,0,法国
FCHI.GI,法国CAC40,20191016,5702.05,5696.9,0,法国
FCHI.GI,法国CAC40,20191017,5696.9,5673.07,0,法国
FCHI.GI,法国CAC40,20191018,5673.07,5636.25,0,法国
FCHI.GI,法国CAC40,20191021,5636.25,5648.35,0,法国
FCHI.GI,法国CAC40,20191022,5648.35,5657.69,0,法国
FCHI.GI,法国CAC40,20191023,5657.69,5653.44,0,法国
FCHI.GI,法国CAC40,20191024,5653.44,5684.33,0,法国
